year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1961,Europe,Landslide,2,290,0,0,0,0,0
1961,Europe,Storm,2,86,0,0,0,0,0
1961,Oceania,Storm,2,4,16000,0,0,16000,1000
1962,Africa,Flood,2,80,0,0,0,0,0
1962,Americas,Earthquake,2,224,0,0,0,0,0
1962,Americas,"Extreme temperature ",2,100,0,0,0,0,0
1962,Americas,Flood,4,322,0,0,0,0,0
1962,Americas,Landslide,4,142,0,0,0,0,0
1962,Americas,"Mass movement (dry)",2,4000,0,0,0,0,400000
1962,Americas,Storm,10,502,0,0,0,0,700000
1962,Asia,Earthquake,4,24194,200000,6534,0,206534,60000
1962,Asia,Flood,8,1068,0,0,0,0,0
1962,Asia,Storm,12,2512,80000,0,0,80000,38000
1962,Europe,Flood,2,890,0,0,0,0,160000
1962,Europe,Storm,2,694,0,0,0,0,1200000
1962,Oceania,Storm,2,12,0,0,0,0,500000
1963,Africa,Earthquake,2,640,0,0,0,0,10000
1963,Africa,Flood,6,338,160800,20,0,160820,0
1963,Americas,Drought,2,0,26800,0,0,26800,0
1963,Americas,Earthquake,2,560,0,920,0,920,470000
1963,Americas,Epidemic,2,0,5448,0,0,5448,0
1963,Americas,"Extreme temperature ",2,300,0,0,0,0,0
1963,Americas,Flood,2,1000,0,0,0,0,0
1963,Americas,Storm,24,14880,0,0,0,0,1658180
1963,Americas,"Volcanic activity",2,30,10000,400,0,10400,0
1963,Asia,Epidemic,4,2000,10000,0,0,10000,0
1963,Asia,Flood,8,724,0,0,0,0,0
1963,Asia,Landslide,2,232,0,0,0,0,0
1963,Asia,"Mass movement (dry)",2,300,0,0,0,0,0
1963,Asia,Storm,18,45050,12000000,0,4400,12004400,100000
1963,Asia,"Volcanic activity",4,3380,156000,0,0,156000,0
1963,Europe,Earthquake,2,2200,0,6766,0,6766,1200000
1963,Europe,"Extreme temperature ",2,24,0,0,0,0,0
1963,Europe,Landslide,2,3834,0,0,0,0,0
1964,Africa,Drought,4,100,1410000,0,0,1410000,0
1964,Africa,Earthquake,2,8,1000,0,0,1000,0
1964,Africa,Flood,10,250,92000,0,7800,99800,6000
1964,Americas,Drought,2,0,1200000,0,0,1200000,0
